Species,Category,Period,Annual percentage change
Greenfinch (Chloris chloris),Farmland birds,(1970-2014),-1.13
Jackdaw (Corvus monedula),Farmland birds,(1970-2014),2.12
Kestrel (Falco tinnunculus),Farmland birds,(1970-2014),-1.49
Reed Bunting (Emberiza schoeniclus),Farmland birds,(1970-2014),-0.86
Rook (Corvus frugilegus),Farmland birds,(1970-2014),0.17
Woodpigeon (Columba palumbus),Farmland birds,(1970-2014),1.85
Yellow Wagtail (Motacilla flava),Farmland birds,(1970-2014),-2.56
Corn Bunting (Emberiza calandra),Farmland birds,(1970-2014),-5.02
Goldfinch (Carduelis carduelis),Farmland birds,(1970-2014),2.14
Grey Partridge (Perdix perdix),Farmland birds,(1970-2014),-5.46
Lapwing (Vanellus vanellus),Farmland birds,(1970-2014),-2.28
Linnet (Carduelis cannabina),Farmland birds,(1970-2014),-1.9
Skylark (Alauda arvensis),Farmland birds,(1970-2014),-2.05
Starling (Sturnus vulgaris),Farmland birds,(1970-2014),-3.64
Stock Dove (Columba oenas),Farmland birds,(1970-2014),1.76
Tree Sparrow (Passer montanus),Farmland birds,(1970-2014),-5.03
Turtle Dove (Streptopelia turtur),Farmland birds,(1970-2014),-8.01
Whitethroat (Sylvia communis),Farmland birds,(1970-2014),-0.07
Blackbird (Turdus merula),Woodland birds,(1970-2014),-0.38
Blue Tit (Cyanistes caeruleus),Woodland birds,(1970-2014),0.48
Bullfinch (Pyrrhula pyrrhula),Woodland birds,(1970-2014),-1.13
Chaffinch (Fringilla coelebs),Woodland birds,(1970-2014),0.55
Dunnock (Prunella modularis),Woodland birds,(1970-2014),-0.8
Great Tit (Parus major),Woodland birds,(1970-2014),1.41
Lesser Whitethroat (Sylvia curruca),Woodland birds,(1970-2014),0.4
Long-tailed Tit (Aegithalos caudatus),Woodland birds,(1970-2014),1.46
Robin (Erithacus rubecula),Woodland birds,(1970-2014),0.86
Song Thrush (Turdus philomelos),Woodland birds,(1970-2014),-1.71
Tawny Owl (Strix aluco),Woodland birds,(1970-2014),-0.83
Wren (Troglodytes troglodytes),Woodland birds,(1970-2014),0.97
Blackcap (Sylvia atricapilla),Woodland birds,(1970-2014),3.18
Chiffchaff (Phylloscopus collybita),Woodland birds,(1970-2014),1.51
Coal Tit (Periparus ater),Woodland birds,(1970-2014),0.4
Garden Warbler (Sylvia borin),Woodland birds,(1970-2014),-0.12
Goldcrest (Regulus regulus),Woodland birds,(1970-2014),-0.53
Great Spotted Woodpecker (Dendrocopos major),Woodland birds,(1970-2014),3.53
Green Woodpecker (Picus viridis),Woodland birds,(1970-2014),1.6
Jay (Garrulus glandarius),Woodland birds,(1970-2014),0.29
